epoch,measure,value
1,val_loss,0.3367544225056966
2,val_loss,0.286495719909668
3,val_loss,0.26120635684331256
4,val_loss,0.24050001108646393
5,val_loss,0.2277640327612559
6,val_loss,0.21743654545148214
7,val_loss,0.20814527491728466
8,val_loss,0.2035787742137909
9,val_loss,0.19828355971972147
10,val_loss,0.1939442452788353
11,val_loss,0.19328178721666336
12,val_loss,0.19258603795369467
13,val_loss,0.18676746791601181
14,val_loss,0.18408298937479656
15,val_loss,0.18321549232800802
16,val_loss,0.1802195126215617
17,val_loss,0.18215401542186738
18,val_loss,0.17944907921552658
19,val_loss,0.17835980753103892
20,val_loss,0.17780147250493367
21,val_loss,0.1763333280881246
22,val_loss,0.17843151917060215
23,val_loss,0.17701721088091532
24,val_loss,0.1764825027783712
25,val_loss,0.17445726217826207
26,val_loss,0.17985986683766048
27,val_loss,0.17927506665388743
28,val_loss,0.17605283532540003
29,val_loss,0.17617193565766018
30,val_loss,0.17634256317218144
1,val_acc,0.9081666665077209
2,val_acc,0.91975
3,val_acc,0.9244166668256124
4,val_acc,0.9317499998410543
5,val_acc,0.9359999998410543
6,val_acc,0.9390833331743876
7,val_acc,0.941916666507721
8,val_acc,0.9423333331743876
9,val_acc,0.9434166665077209
10,val_acc,0.9437499998410542
11,val_acc,0.9458333331743877
12,val_acc,0.946916666507721
13,val_acc,0.9474166668256124
14,val_acc,0.949166666507721
15,val_acc,0.9486666665077209
16,val_acc,0.9506666665077209
17,val_acc,0.9504166665077209
18,val_acc,0.9489999998410543
19,val_acc,0.9513333331743876
20,val_acc,0.9496666666666667
21,val_acc,0.9518333333333333
22,val_acc,0.950166666507721
23,val_acc,0.9509166666666666
24,val_acc,0.9519166666666666
25,val_acc,0.9526666665077209
26,val_acc,0.9506666666666667
27,val_acc,0.9510833333333333
28,val_acc,0.9520833333333333
29,val_acc,0.9525833333333333
30,val_acc,0.9513333331743876
1,loss,0.6801050204833349
2,loss,0.3245251029729843
3,loss,0.2834635343949
4,loss,0.25977616242567697
5,loss,0.24251219681898753
6,loss,0.22838068449497223
7,loss,0.21721674317121506
8,loss,0.20805597575505574
9,loss,0.1995273438990116
10,loss,0.19317071092128754
11,loss,0.18674956146876018
12,loss,0.18173411619663238
13,loss,0.17722275416056316
14,loss,0.17285800394415857
15,loss,0.16858780789375305
16,loss,0.16520324595769245
17,loss,0.16191228928168613
18,loss,0.1590922687749068
19,loss,0.15564415004849433
20,loss,0.15335372872153918
21,loss,0.1505312960445881
22,loss,0.1478454739054044
23,loss,0.14547503231962522
24,loss,0.14306718277434508
25,loss,0.14133320867021879
26,loss,0.13855234449108442
27,loss,0.1372426395912965
28,loss,0.13571435220042866
29,loss,0.13324585265914599
30,loss,0.13181459884842237
1,acc,0.8080208333333333
2,acc,0.90841666666666665
3,acc,0.9199375
4,acc,0.9259583333333333
5,acc,0.9309791666666667
6,acc,0.935875
7,acc,0.9383958333333333
8,acc,0.9415416666666667
9,acc,0.9436458333333333
10,acc,0.945375
11,acc,0.946875
12,acc,0.9488958333333334
13,acc,0.9501666666666667
14,acc,0.9513333333333334
15,acc,0.9527708333333333
16,acc,0.9531458333333334
17,acc,0.954375
18,acc,0.9554583333333333
19,acc,0.9559375
20,acc,0.9566458333333333
21,acc,0.9577708333333333
22,acc,0.9579166666666666
23,acc,0.9593541666666666
24,acc,0.9597291666666666
25,acc,0.9604375
26,acc,0.9609791666666667
27,acc,0.9607708333333334
28,acc,0.9614166666666667
29,acc,0.9626458333333333
30,acc,0.9619583333333334
